Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-02-19/15:25:00	2016-02-19/15:35:00	210.638	-0.23	-2.313	-3.903
2016-02-19/15:55:00	2016-02-19/16:05:00	214.912	-1.093	-2.623	-3.78
2016-02-19/16:35:00	2016-02-19/16:45:00	219.592	-1.805	-2.802	-3.317
2016-02-21/12:40:00	2016-02-21/12:50:00	205.641	2.817	-0.578	-1.208
2016-02-21/15:05:00	2016-02-21/15:15:00	175.918	2.973	0.187	-2.638
2016-02-21/15:35:00	2016-02-21/15:45:00	174.972	2.752	0.257	-2.862
2016-02-21/16:05:00	2016-02-21/16:15:00	139.866	2.818	1.987	-2.302
2016-02-21/17:10:00	2016-02-21/17:20:00	173.695	3.408	0.333	-2.967
2016-02-23/01:45:00	2016-02-23/01:55:00	192.059	3.71	-0.397	-1.647
2016-02-23/20:30:00	2016-02-23/20:40:00	198.321	-3.125	-1.827	-5.49
2016-02-23/21:00:00	2016-02-23/21:10:00	213.946	-4.153	-3.043	-4.555
2016-02-23/21:30:00	2016-02-23/21:40:00	204.832	-3.115	-2.708	-5.905
2016-02-23/22:00:00	2016-02-23/22:10:00	203.825	-3.437	-2.603	-5.902
2016-02-23/22:30:00	2016-02-23/22:40:00	189.476	-1.747	-1.127	-6.807
2016-02-23/23:00:00	2016-02-23/23:10:00	202.899	-0.653	-2.633	-6.29
2016-02-23/23:30:00	2016-02-23/23:40:00	204.886	2.02	-2.11	-4.527
2016-02-24/00:15:00	2016-02-24/00:25:00	219.81	2.208	-3.115	-3.763
2016-02-24/01:15:00	2016-02-24/01:25:00	223.397	-3.373	-3.843	-4.07
2016-02-28/21:25:00	2016-02-28/21:35:00	143.636	-0.438	1.718	-2.337
2016-02-28/21:55:00	2016-02-28/22:05:00	153.178	-0.56	0.933	-1.85
2016-02-28/22:25:00	2016-02-28/22:35:00	167.852	-1.658	0.395	-1.778
2016-02-29/00:55:00	2016-02-29/01:05:00	150.02	-2.882	0.722	-1.242
2016-02-29/21:25:00	2016-02-29/21:35:00	148.213	0.598	3.333	-5.382
2016-03-02/14:25:00	2016-03-02/14:35:00	175.623	-5.358	0.23	-3.755
2016-03-07/14:25:00	2016-03-07/14:35:00	208.781	4.232	-1.64	-3.067
2016-03-07/15:30:00	2016-03-07/15:40:00	211.481	3.467	-2.453	-3.962
2016-03-07/16:20:00	2016-03-07/16:30:00	174.67	4.042	0.363	-4.138
2016-03-07/21:00:00	2016-03-07/21:10:00	222.574	4.493	-3.19	-3.488
2016-03-07/21:30:00	2016-03-07/21:40:00	222.924	2.967	-4.032	-4.252
2016-03-07/22:30:00	2016-03-07/22:40:00	219.478	5.813	-2.658	-3.223
2016-03-07/23:00:00	2016-03-07/23:10:00	214.211	5.913	-2.352	-3.463
2016-03-07/23:30:00	2016-03-07/23:40:00	215.926	5.202	-2.67	-3.68
2016-03-08/00:00:00	2016-03-08/00:10:00	214.375	4.682	-2.537	-3.643
2016-03-09/11:25:00	2016-03-09/11:35:00	216.429	0.338	-1.737	-2.368
2016-03-09/13:10:00	2016-03-09/13:20:00	216.728	-0.053	-2.443	-3.267
2016-03-09/19:20:00	2016-03-09/19:30:00	209.837	0.885	-2.31	-4.018
2016-03-09/21:50:00	2016-03-09/22:00:00	215.883	0.788	-2.027	-2.803
2016-03-09/22:20:00	2016-03-09/22:30:00	218.591	0.637	-2.098	-2.652
2016-03-09/23:10:00	2016-03-09/23:20:00	169.528	-0.055	0.595	-3.26
2016-03-10/01:30:00	2016-03-10/01:40:00	211.576	1.502	-1.59	-2.64
2016-03-10/02:00:00	2016-03-10/02:10:00	205.952	0.717	-1.51	-3.12
2016-03-10/02:30:00	2016-03-10/02:40:00	207.398	1.657	-1.478	-2.85
2016-03-10/03:55:00	2016-03-10/04:05:00	194.07	0.962	-0.858	-3.345
2016-03-10/18:20:00	2016-03-10/18:30:00	212.092	1.41	-2.348	-3.73
2016-03-10/18:50:00	2016-03-10/19:00:00	207.895	2.713	-1.815	-3.463
2016-03-10/22:30:00	2016-03-10/22:40:00	204.718	-1.08	-1.945	-4.25
2016-03-10/23:05:00	2016-03-10/23:15:00	220.262	-0.652	-2.887	-3.43
2016-03-10/23:40:00	2016-03-10/23:50:00	214.343	-1.213	-2.795	-4.075
2016-03-11/01:25:00	2016-03-11/01:35:00	219.916	-2.583	-3.487	-4.157
2016-03-14/12:15:00	2016-03-14/12:25:00	138.31	-2.007	3.723	-4.18
2016-03-14/13:00:00	2016-03-14/13:10:00	148.673	-5.452	1.587	-2.492
2016-03-15/18:15:00	2016-03-15/18:25:00	197.211	6.722	-1.885	-6.055
2016-03-16/22:00:00	2016-03-16/22:10:00	174.584	6.987	0.417	-4.977
2016-03-16/22:30:00	2016-03-16/22:40:00	180.727	5.857	-0.045	-6.117
2016-03-17/00:50:00	2016-03-17/01:00:00	137.616	4.628	3.445	-3.93
