Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-12-03/12:45:00	2016-12-03/12:55:00	103.909	-1.493
2016-12-03/13:15:00	2016-12-03/13:25:00	103.248	-0.577
2016-12-03/13:45:00	2016-12-03/13:55:00	116.414	-0.812
2016-12-03/14:15:00	2016-12-03/14:25:00	114.941	-0.642
2016-12-03/14:45:00	2016-12-03/14:55:00	108.035	-0.563
2016-12-03/15:15:00	2016-12-03/15:25:00	99.905	-0.855
2016-12-03/16:25:00	2016-12-03/16:35:00	121.779	-1.302
2016-12-03/17:20:00	2016-12-03/17:30:00	110.614	-1.82
2016-12-03/19:25:00	2016-12-03/19:35:00	91.221	-1.49
2016-12-03/20:00:00	2016-12-03/20:10:00	94.729	-1.672
2016-12-03/20:30:00	2016-12-03/20:40:00	96.536	-1.863
2016-12-04/15:15:00	2016-12-04/15:25:00	131.605	0.895
2016-12-04/18:45:00	2016-12-04/18:55:00	117.946	0.222
2016-12-05/03:10:00	2016-12-05/03:20:00	61.796	0.443
2016-12-05/17:40:00	2016-12-05/17:50:00	71.315	-4.107
2016-12-05/18:10:00	2016-12-05/18:20:00	57.028	-3.832
2016-12-05/18:40:00	2016-12-05/18:50:00	65.379	-3.242
2016-12-06/14:05:00	2016-12-06/14:15:00	128.628	-4.005
2016-12-07/06:15:00	2016-12-07/06:25:00	134.512	-2.352
